date,FREIGHT_USD_DAY,FUEL_USD_PER_T,EUA_USD_PER_TCO2
2024-01-02,85000,747,71.8949966430664
2024-01-03,85000,747,73.31999969482422
2024-01-04,85000,747,71.3550033569336
2024-01-05,85000,747,72.1449966430664
2024-01-08,85000,747,68.19999694824219
2024-01-09,85000,747,68.25499725341797
2024-01-10,85000,747,65.95999908447266
2024-01-11,85000,747,64.24500274658203
2024-01-12,85000,747,62.095001220703125
2024-01-16,85000,747,61.92499923706055
2024-01-17,85000,747,59.83000183105469
2024-01-18,85000,747,59.93000030517578
2024-01-19,85000,747,59.95000076293945
2024-01-22,85000,747,59.34000015258789
2024-01-23,85000,747,59.584999084472656
2024-01-24,85000,747,62.1150016784668
2024-01-25,85000,747,59.76499938964844
2024-01-26,85000,747,59.97999954223633
2024-01-29,85000,747,58.53499984741211
2024-01-30,85000,747,60.45500183105469
2024-01-31,85000,747,60.88999938964844
2024-02-01,85000,747,59.0099983215332
2024-02-02,85000,747,60.1349983215332
2024-02-05,85000,747,60.869998931884766
2024-02-06,85000,747,60.36000061035156
2024-02-07,85000,747,59.19499969482422
2024-02-08,85000,747,57.525001525878906
2024-02-09,85000,747,55.64500045776367
2024-02-12,85000,747,53.85499954223633
2024-02-13,85000,747,53.32500076293945
2024-02-14,85000,747,53.57500076293945
2024-02-15,85000,747,55.189998626708984
2024-02-16,85000,747,54.10499954223633
2024-02-20,85000,747,51.39500045776367
2024-02-21,85000,747,52.099998474121094
2024-02-22,85000,747,49.915000915527344
2024-02-23,85000,747,49.665000915527344
2024-02-26,85000,747,51.040000915527344
2024-02-27,85000,747,52.994998931884766
2024-02-28,85000,747,54.97999954223633
2024-02-29,85000,747,53.08000183105469
2024-03-01,85000,747,53.654998779296875
2024-03-04,85000,747,54.185001373291016
2024-03-05,85000,747,57.130001068115234
2024-03-06,85000,747,56.525001525878906
2024-03-07,85000,747,56.3650016784668
2024-03-08,85000,747,55.48500061035156
2024-03-11,85000,747,53.290000915527344
2024-03-12,85000,747,53.720001220703125
2024-03-13,85000,747,53.06999969482422
2024-03-14,85000,747,55.310001373291016
2024-03-15,85000,747,57.0
2024-03-18,85000,747,58.154998779296875
2024-03-19,85000,747,58.119998931884766
2024-03-20,85000,747,57.654998779296875
2024-03-21,85000,747,56.3650016784668
2024-03-22,85000,747,58.5
2024-03-25,85000,747,61.915000915527344
2024-03-26,85000,747,60.5
2024-03-27,85000,747,59.31999969482422
2024-03-28,85000,747,58.994998931884766
2024-04-02,85000,747,56.28499984741211
2024-04-03,85000,747,57.625
2024-04-04,85000,747,55.77000045776367
2024-04-05,85000,747,57.78499984741211
2024-04-08,85000,747,60.505001068115234
2024-04-09,85000,747,60.89500045776367
2024-04-10,85000,747,59.915000915527344
2024-04-11,85000,747,65.2249984741211
2024-04-12,85000,747,68.20999908447266
2024-04-15,85000,747,67.4749984741211
2024-04-16,85000,747,70.67500305175781
2024-04-17,85000,747,66.88999938964844
2024-04-18,85000,747,68.43000030517578
2024-04-19,85000,747,65.23999786376953
2024-04-22,85000,747,63.25
2024-04-23,85000,747,63.14500045776367
2024-04-24,85000,747,63.70500183105469
2024-04-25,85000,747,65.25
2024-04-26,85000,747,64.05500030517578
2024-04-29,85000,747,62.80500030517578
2024-04-30,85000,747,65.72000122070312
2024-05-01,85000,747,64.54499816894531
2024-05-02,85000,747,69.51499938964844
2024-05-03,85000,747,68.3949966430664
2024-05-07,85000,747,67.63500213623047
2024-05-08,85000,747,68.65499877929688
2024-05-09,85000,747,70.21499633789062
2024-05-10,85000,747,68.2300033569336
2024-05-13,85000,747,66.82499694824219
2024-05-14,85000,747,67.19499969482422
2024-05-15,85000,747,66.45999908447266
2024-05-16,85000,747,67.08000183105469
2024-05-17,85000,747,67.22000122070312
2024-05-20,85000,747,70.86000061035156
2024-05-21,85000,747,72.79499816894531
2024-05-22,85000,747,72.91500091552734
2024-05-23,85000,747,72.5999984741211
2024-05-24,85000,747,72.26499938964844
2024-05-28,85000,747,71.56999969482422
2024-05-29,85000,747,70.83499908447266
2024-05-30,85000,747,72.125
2024-05-31,85000,747,70.69499969482422
2024-06-03,85000,747,70.93000030517578
2024-06-04,85000,747,69.69499969482422
2024-06-05,85000,747,68.87000274658203
2024-06-06,85000,747,68.70999908447266
2024-06-07,85000,747,68.58000183105469
2024-06-10,85000,747,68.08499908447266
2024-06-11,85000,747,67.44000244140625
2024-06-12,85000,747,68.0199966430664
2024-06-13,85000,747,68.11499786376953
2024-06-14,85000,747,65.73500061035156
2024-06-17,85000,747,65.33999633789062
2024-06-18,85000,747,65.38500213623047
2024-06-20,85000,747,66.23500061035156
2024-06-21,85000,747,65.2699966430664
2024-06-24,85000,747,64.51499938964844
2024-06-25,85000,747,65.06500244140625
2024-06-26,85000,747,64.55500030517578
2024-06-27,85000,747,64.05999755859375
2024-06-28,85000,747,64.56500244140625
2024-07-01,85000,747,65.18499755859375
2024-07-02,85000,747,67.75499725341797
2024-07-03,85000,747,67.68000030517578
2024-07-05,85000,747,67.15499877929688
2024-07-08,85000,747,66.07499694824219
2024-07-09,85000,747,65.6449966430664
2024-07-10,85000,747,65.55999755859375
2024-07-11,85000,747,65.6050033569336
2024-07-12,85000,747,66.6500015258789
2024-07-15,85000,747,64.86499786376953
2024-07-16,85000,747,64.80000305175781
2024-07-17,85000,747,64.0999984741211
2024-07-18,85000,747,63.790000915527344
2024-07-19,85000,747,63.61000061035156
2024-07-22,85000,747,62.10499954223633
2024-07-23,85000,747,63.01499938964844
2024-07-24,85000,747,66.13999938964844
2024-07-25,85000,747,64.2249984741211
2024-07-26,85000,747,65.22000122070312
2024-07-29,85000,747,65.94999694824219
2024-07-30,85000,747,65.69999694824219
2024-07-31,85000,747,66.66999816894531
2024-08-01,85000,747,68.375
2024-08-02,85000,747,67.65499877929688
2024-08-05,85000,747,66.18499755859375
2024-08-06,85000,747,67.30500030517578
2024-08-07,85000,747,68.4000015258789
2024-08-08,85000,747,68.30000305175781
2024-08-09,85000,747,67.45500183105469
2024-08-12,85000,747,69.84500122070312
2024-08-13,85000,747,68.83499908447266
2024-08-14,85000,747,69.00499725341797
2024-08-15,85000,747,69.11000061035156
2024-08-16,85000,747,69.76499938964844
2024-08-19,85000,747,70.2750015258789
2024-08-20,85000,747,70.3949966430664
2024-08-21,85000,747,69.81500244140625
2024-08-22,85000,747,69.01499938964844
2024-08-23,85000,747,68.83499908447266
2024-08-27,85000,747,69.05999755859375
2024-08-28,85000,747,68.34500122070312
2024-08-29,85000,747,68.6500015258789
2024-08-30,85000,747,67.51499938964844
2024-09-03,85000,747,65.90499877929688
2024-09-04,85000,747,64.8550033569336
2024-09-05,85000,747,64.13999938964844
2024-09-06,85000,747,64.18499755859375
2024-09-09,85000,747,64.2249984741211
2024-09-10,85000,747,63.52000045776367
2024-09-11,85000,747,64.04000091552734
2024-09-12,85000,747,63.189998626708984
2024-09-13,85000,747,62.529998779296875
2024-09-16,85000,747,61.7599983215332
2024-09-17,85000,747,62.540000915527344
2024-09-18,85000,747,61.625
2024-09-19,85000,747,60.73500061035156
2024-09-20,85000,747,61.474998474121094
2024-09-23,85000,747,61.82500076293945
2024-09-24,85000,747,61.79999923706055
2024-09-25,85000,747,63.150001525878906
2024-09-26,85000,747,63.0
2024-09-27,85000,747,63.97999954223633
2024-09-30,85000,747,63.26499938964844
2024-10-01,85000,747,61.82500076293945
2024-10-02,85000,747,61.064998626708984
2024-10-03,85000,747,60.4900016784668
2024-10-04,85000,747,60.13999938964844
2024-10-07,85000,747,60.04499816894531
2024-10-08,85000,747,58.599998474121094
2024-10-09,85000,747,60.61000061035156
2024-10-10,85000,747,62.845001220703125
2024-10-11,85000,747,62.48500061035156
2024-10-14,85000,747,63.70000076293945
2024-10-15,85000,747,62.7599983215332
2024-10-16,85000,747,61.47999954223633
2024-10-17,85000,747,61.349998474121094
2024-10-18,85000,747,60.45500183105469
2024-10-21,85000,747,59.86000061035156
2024-10-22,85000,747,60.709999084472656
2024-10-23,85000,747,62.724998474121094
2024-10-24,85000,747,64.69999694824219
2024-10-25,85000,747,64.80000305175781
2024-10-28,85000,747,64.30999755859375
2024-10-29,85000,747,67.18000030517578
2024-10-30,85000,747,63.755001068115234
2024-10-31,85000,747,62.584999084472656
2024-11-01,85000,747,62.05500030517578
2024-11-04,85000,747,63.21500015258789
2024-11-05,85000,747,62.29499816894531
2024-11-06,85000,747,61.915000915527344
2024-11-07,85000,747,63.775001525878906
2024-11-08,85000,747,65.86499786376953
2024-11-11,85000,747,65.80000305175781
2024-11-12,85000,747,65.3499984741211
2024-11-13,85000,747,64.33999633789062
2024-11-14,85000,747,66.2300033569336
2024-11-15,85000,747,65.69000244140625
2024-11-18,85000,747,67.34500122070312
2024-11-19,85000,747,66.58499908447266
2024-11-20,85000,747,66.62000274658203
2024-11-21,85000,747,67.83499908447266
2024-11-22,85000,747,67.1449966430664
2024-11-25,85000,747,67.9000015258789
2024-11-26,85000,747,67.26000213623047
2024-11-27,85000,747,66.36499786376953
2024-11-29,85000,747,66.54499816894531
2024-12-02,85000,747,66.82499694824219
2024-12-03,85000,747,66.55999755859375
2024-12-04,85000,747,66.04000091552734
2024-12-05,85000,747,65.37999725341797
2024-12-06,85000,747,66.55000305175781
2024-12-09,85000,747,64.4749984741211
2024-12-10,85000,747,66.3550033569336
2024-12-11,85000,747,66.91500091552734
